text,stereotype,baseline_pred,baseline_prob1,context_pred,context_prob1,baseline_correct,context_correct,verdict
"Hilo imprescindible! Felicidades.
Solo matizaría que la población autóctona sí está dispuesta a trabajar, pero no ""a ese precio"".",1,0,0.08204580843448639,0,0.057803165167570114,0,0,tie
Alto y claro. Gracias,0,0,0.005682408809661865,0,0.018177373334765434,1,1,tie
"Joder,macho!y como saber dónde han cultivado las fresas?",0,0,0.0029406200628727674,0,0.02550170198082924,1,1,tie
"No compro fresas, lo haría si supiera que el beneficio repercute en gran parte en el bolsillo de los andaluces,  pero visto lo visto, no reduce el paro local, vulnera derechos fundamentales de las personas y solo beneficia al bolsillo de 4. Por el momento no como fresas.",1,0,0.0006684056716039777,0,0.18395014107227325,0,0,tie
Fresones también se hacen en el Maresme. Y a mi me gustan más.,0,1,0.6574347019195557,0,0.41472718119621277,0,1,context_wins
Y hay mucho hijoputa sin control. Hay que hacer algo para evitar esa mierda que parece saluda de “los santos inocentes”.,0,1,0.9248120188713074,0,0.26571160554885864,0,1,context_wins
Lo más grave es cómo con esos cultivos están desaguando (desangrando) lentamente el acuífero del P.N. de Doñana. 😕,0,0,0.0535641685128212,0,0.05172916501760483,1,1,tie
Yo creo que las revolucionarias debemos ser las autóctonas...porque ellas tienen miedo...sin recursos y extranjeras en situación inferior...somos nosotras las que hemos de luchar por sus derechos y apoyarlas.,1,1,0.9992210865020752,0,0.39871829748153687,1,0,baseline_wins
"Mientras tanto en Italia matan a sangre fría a Soumayla, un temporero maliense activista del sindicado USB URL y en España ni una palabra, sólo he encontrado esto: URL",1,0,0.0017925244756042957,0,0.021068068221211433,0,0,tie
Buenísimo este hilo para informar de la esclavitud laboral y sexual de las trabajadoras de la fresa,1,0,0.0006309451418928802,0,0.018277466297149658,0,0,tie
Lo que no sé es pq dices q las temporeras viven en asentamientos chabolistas siendo de la zona. Sabes q todas las fincas tienen sus viviendas para las temporeras y q se les facilita el trasporte hasta el nuvleo urbano.,1,0,0.0011798638151958585,0,0.23335090279579163,0,0,tie
Las temporeras vive en las fincas. Lo que digo es que además hay asentamientos chabolistas donde viven mayoritariamente hombres subsaharianos cómo mano de obra de reserva. Relee,1,0,0.045708540827035904,0,0.07020676881074905,0,0,tie
Lo he leído muy bien.,0,0,0.00975275132805109,0,0.02622956596314907,1,1,tie
"Disculpa Silvia...pero, si que reducen el paro local, además muchísimo.
En la industria agrícola hay dos tipos de puestos de trabajo
- sembradoes y recolectores
- manipuladores y empaquetadores

Es cierto que los primeros se cubren con inmigrantes, pero los segundos, son locales",1,0,0.0007752344245091081,0,0.04266415908932686,0,0,tie
No hubiera sido mejor escribir un artículo y adjuntarlo en lugar de tantos tweets?,0,0,0.01117071881890297,0,0.009148167446255684,1,1,tie
"Lo desconocía, pero no crees que un paron general en la compra, beneficiaria con sueldos y jornadas dignas a los recolectores? Hay muchos españoles parados que estarían encantados de trabajar, en condiciones de  no explotación. A mi personalmente no me importaría pagar +.",1,0,0.0005015897913835943,0,0.08044204115867615,0,0,tie
"Grácias por el hilo. Lo primero que podemos hacer , cada uno de nosotros, es no comprar fresas de Huelva. Y Luego exigir al govierno que se implique e investiguen. #quehacenestasfresasentumesa",0,1,0.745036244392395,0,0.09272588044404984,0,1,context_wins
"Muchas gracias por tu información, como consumidores si se pueden hacer pequeñas cosas, mucha fuerza.",0,0,0.0007340561132878065,0,0.009800410829484463,1,1,tie
No consumire ningun producto agroindustrial de Huelva. Punto.,0,0,0.01740473508834839,0,0.08832304179668427,1,1,tie
Yo también las creo.,0,0,0.001261378638446331,0,0.012279462069272995,1,1,tie
¿Algún artículo fidedigno que me puedas recomendar sobre esto?,0,0,0.0056176334619522095,0,0.01474476046860218,1,1,tie
"Gracias, desconocía que la situación fuese tan cruda",0,0,0.00112054287455976,0,0.02051372267305851,1,1,tie
Bueno pues te acabo el hilo con una muestra de lo que va a pasar en cero coma. El futuro inmediato de lo que relatas está en este link URL,0,0,0.0009799676481634378,0,0.013769789598882198,1,1,tie
"Buenos días, yo no voy a poner en duda, bajo ningún concepto, los hechos que denuncian estas mujeres, lo que si creo es que estás mezclando un poco churras con merinas. Los poblados chabolistas no son de las temporeras, ellas viven en casas, muy básicas y compartidas (Sigo)",0,0,0.0007838215096853673,0,0.01763140968978405,1,1,tie
"En las fincas donde se las contrata, no hay casas mixtas, y/o , por ejemplo, en Cuna de platero, se habilitan espacios para este fin en las instalaciones. Los poblados chabolistas, gralmente., ""pertenecen"" a subsaharianos indocumentados.",1,0,0.09860637038946152,0,0.11052532494068146,0,0,tie
"Otra cosa, desde hace aprox. 10 años, el número de contratación en origen bajó, por que prefirieron contratar a españoles (x la crisis e imagino que con algún beneficio fiscal)",0,0,0.0023121896665543318,0,0.03484026715159416,1,1,tie
"Y sí, las condiciones en estas campañas pueden llegar a ser duras, por el trabajo, las circunstancias, estar lejos de sus familias... Pero también te digo que hay de todo, y que, en gral., ni unos son tan buenos, ni los otros tan malos.",0,0,0.0016374447150155902,0,0.023890620097517967,1,1,tie
"Ya, pero si una parte es esclava, no hay como el poder económico para erradicar la esclavitud. Yo tampoco compraré fresas de Huelva hasta que se demuestre que han dejado de existir estas vejaciones.",1,0,0.0060966722667217255,0,0.062038224190473557,0,0,tie
He explicado exactamente lo que dices.  Las mujeres temporeras que vienen en los contingentes viven en las fincas. En los asentamientos viven la mano de obra de reserva los subsaharianos varones. Relee he escrito es exactamente. No es una cuestión de bueno o malos.,0,0,0.2594048082828522,0,0.0542919859290123,1,1,tie
"Buenooooo, trabajo en la Seguridad Social en Barcelona, y recuerdo riadas de trabajadores subsaharianos, con deudas porque sus patronos del maresme no les declaraban todas las jornadas realizadas. Me alegra que haya cambiado, pero este hilo busca solidaridad, no crees?",1,0,0.0007272259099408984,0,0.051280539482831955,0,0,tie
Tienes toda la razón. Por lo que hay que hacer es exigir dignidad para TODOS los trabajadores sin distinción.,0,0,0.00038453558227047324,0,0.020419299602508545,1,1,tie
Pues paga y casa pa todas!!,1,0,0.21641495823860168,0,0.1362295150756836,0,0,tie
"Perdona, eso de  ""rechazo de la población autóctona a trabajar el campo"" de dónde te lo sacas? Aquí hemos trabajado toda la vida en el campo y por desgracia lo seguimos haciéndolo. Infórmate sobre los convenios de Huelva y de Sevilla.",0,0,0.036605846136808395,0,0.10011259466409683,1,1,tie
"Sé lo que pone el convenio pero no sé cuántas empresas lo cumplen. Si se paga a todos lo mismo sean temporeras marroquíes, onubenses o subsaharianos. Eso es lo que queremos que la inspección de trabajo averigüe",0,0,0.0006523559568449855,0,0.11750069260597229,1,1,tie
"Se cobra 37,60 euros en Huelva y en Sevilla 45 euros, sin contar retenciones, sólo por pasar la ""frontera"" entre Huelva y Sevilla ya se gana 7 euros más. A parte del salario de mierda, levántate a las 5 y media de la mañana para estar en el tajo a las 7, el que no tiene coche...",0,0,0.07599443942308426,0,0.1323239803314209,1,1,tie
Por supuesto que es legítimo que alguien rechace trabajar en esas condiciones. Lo triste del capitalismo es que siempre hay alguien más pobre dispuesto a hacerlo. De ahí que existan los asentamientos de subsaharianos.,1,1,0.949539840221405,0,0.17035755515098572,1,0,baseline_wins
"Se tiene q buscar uno y pagar 5 euros al día al conductor para q lo lleve, luego el bocata. Sales de allí a las 3 y algunos días te dicen q tienes q hacer una o dos horas más sin avisarte hasta última hora y si te quejas a la calle. A parte de lo q es trabajar debajo de un...",0,1,0.9576076865196228,1,0.803324282169342,0,0,tie
Invernadero q yo he llegado a ver en los termómetros hasta 53 grados. Que me parece de lujo lo q estás haciendo pero no estaría mal hablar con todas las partes.,0,0,0.0012984866043552756,0,0.02801630273461342,1,1,tie
"Yo las creo y no he visto un cortijo ni he hecho la recogida de fruta en mi vida. I las creo porqué soy mujer, he trabajado toda mi vida y porqué conozco como és España",0,0,0.0006235067849047482,0,0.02304832637310028,1,1,tie
"Lo que se deberían hacer es que los trabajadores autóctonos tengan mejores condiciones laborales, entonces si que habría suficientes personas para la recogida y no traer a gente de fuera.",1,1,0.9790602922439575,0,0.16964787244796753,1,0,baseline_wins
"Buenas tardes, estoy mediando entre varias organizaciones de mujeres y feministas marroquíes y la gente que estáis apoyando a las compas en Huelva: ¿me podrías enviar tu mail por privado para incluiros? Entiendes francés o precisas traducción? Te cuento más! Mil gracias.",0,0,0.12863872945308685,0,0.033218901604413986,1,1,tie
Dalas tu sueldo y verás cómo trabaja la población autóctona que vienen se vive sentada en tu despacho,0,1,0.994513750076294,1,0.721976101398468,0,0,tie
Este mensaje es ofensivo. Obviamente la población autóctona rechaza trabajar porque las condiciones de trabajo son precarias y no se cumple el Convenio. Desde el sindicato de obreros del campo llevamos años en esta lucha. Pidame disculpa por su ofensa.,0,0,0.0010292399674654007,0,0.048317763954401016,1,1,tie
Gracias por la aclaración. Me duele que por ser inmigrantes la gente de por hecho que mienten. Aunque noe extraña teniendo en cuenta que no se creen ni a las del propio país. Aquí todos son unos Santos y ninguno ha abusado nunca de una mujer. Son imaginaciones nuestras.,1,0,0.013831058517098427,1,0.5492148995399475,0,1,context_wins
"Las condiciones de trabajo en el campo son precarias,por culpa de la llegada masiva de inmigrantes Si para un puesto de trabajo no hubieran cientos de inmigrantes dispuestos a trabajar por la mitad,los patronos pagarian a los españoles al alza,para que no se fueran a otra finca",1,0,0.398294061422348,0,0.24937069416046143,0,0,tie
"Me planteo porque muchas opiniones van de CREER O NO CREER. ¿Que necesidad tendrán estas mujeres de inventarse toda la historia si se están jugando el jornal y su fururo? Siempre igual, la duda al pobre que el rico nos sigue meando y seguimos pensando que llueve.",0,0,0.000671523914206773,0,0.012762419879436493,1,1,tie
Y por no hablar del subsidio del pert. Que seguro que se lo lleva algun español sin haber pisado el campo. Ya que el jornal lo trabaja el inmigrante,0,0,0.002122855046764016,0,0.49959295988082886,1,1,tie
"*Corrección de esta info: La Guardia Civil no paró el secuestro. Más bien al contrario, la Audiencia Nacional Investiga su participación en él.",0,0,0.0011195852421224117,0,0.017112117260694504,1,1,tie
"Siento vergüenza, en que Siglo vivimos",0,0,0.042466141283512115,0,0.03219445049762726,1,1,tie
Los sindicatos te dicen que recuerdos ahy te lo dejo URL,0,0,0.0005334059824235737,0,0.023585882037878036,1,1,tie
"Solidaridad para ella, jamás para los patrones. No compro nada de proceda de Huelva, tengo mis razones claro",0,0,0.00047517463099211454,0,0.028825273737311363,1,1,tie
¡Cuéntamos esto!.,0,0,0.0028862636536359787,0,0.051970742642879486,1,1,tie
El Gurugú patrio.,0,0,0.004259354900568724,0,0.01760249212384224,1,1,tie
"Gracias por la información resumida, se agradece tu esfuerzo por aumentar la conciencia social y visibilizar la esclavitud que viven, luchemos por la soberanía alimentaria y la solidaridad!!!.",1,1,0.9645500779151917,0,0.19833144545555115,1,0,baseline_wins
"Si son del Este, NO 🤢",1,0,0.4876221716403961,1,0.7100874185562134,0,1,context_wins
"Somos mucha@user l@s K, RECHAZAMOS la gran esclavitud existente en el mundo d tanta MISERIA, Sí, en todos ls sitios se cuecen havas. Cómo se aprovechan los PODEROSOS DESDE SIEMPRE, del K tiene poco, o casi nada! Tod@s TIENEN DERECHOS. UN MUNDO MEJOR ES POSIBLE!",1,0,0.015501691959798336,0,0.07090790569782257,0,0,tie
"La verdad es que has detallado todo lo que en casi, pocos medios de comunicación LO DAN A CONOCER. Tanto con los DDHH... DÓNDE ESTÁN? GRACIAS!!",0,0,0.0008500544354319572,0,0.01326222624629736,1,1,tie
Ole tú.Sastipen Tha Li,0,0,0.0057168747298419476,0,0.03480736166238785,1,1,tie
Por lo menos ya no nos recomiendas vacunas.,0,0,0.05189434066414833,0,0.27444031834602356,1,1,tie
"Vergonzoso.
#MotivosParaLaMoción",0,0,0.006932786200195551,0,0.1768401861190796,1,1,tie
"¿En un hotel?...¿y que empresario hotelero se brinda a ello?...No quiero pensar cómo pueden acabar las instalaciones, viendo lo que son capaces de hacer en los CATE",1,0,0.0012028865749016404,0,0.16192182898521423,0,0,tie
😂😂😂😂 sin fuente eso es una mierda pinchá en un palo! Pero bueno sé que os da igual....🤦‍♂️,0,0,0.0016601730603724718,0,0.046324100345373154,1,1,tie
"Salimos más fuertes
Ya se recupera la okupación hotelera
desconfiados.. que soy muy desconfiados",0,0,0.0008144966559484601,0,0.21420694887638092,1,1,tie
"Cada día alucinó más con él gobierno. Nos okupan nuestras casas, les hacen test , dinero,ECT. Somos él país de los tontos.
#Mociondecensura",1,1,0.961245059967041,1,0.6350551843643188,1,1,tie
De allí igual no se escapan contagiados por el virus comunista chino,1,0,0.03198001906275749,1,0.8359902501106262,0,1,context_wins
No “van”. Ya están. Y 2/3 de la guardia civil de la comarca del noroeste de Murcia también están allí.,0,0,0.0009755530627444386,0,0.1780799776315689,1,1,tie
"Somos unos peleles, consentimos todo.",0,0,0.0018414942314848304,0,0.10664431005716324,1,1,tie
La solución es fácil no votar al PSOE ni a Podemos y sus quinta columnas.,0,0,0.0007036076276563108,0,0.03286793455481529,1,1,tie
Sobra una cama? No tuve vacaciones este año 😏,0,0,0.0764603540301323,0,0.27886176109313965,1,1,tie
"Bueno es la política del arrogante y orgulloso y engreido inquilino de la Moncloa porqué le votan. Por ignorancia, por subvenciones????",0,0,0.001138402963988483,0,0.07634298503398895,1,1,tie
"No voy a decir lo que pienso, salvo si a la moción",0,0,0.0017219925066456199,0,0.03649146109819412,1,1,tie
"Pues evidentemente, el problema  es que hay población  que por el adoctrinamiento  impuesto, no obedece a razones, son auténticos  sectarios.
Una desgracia, que a los gobiernos anteriores también  habría  que exigirles explicaciones.",0,0,0.0004877936444245279,0,0.05824780836701393,1,1,tie
"No he tenido  el suficiente  espacio, para terminar  mi respuesta,.
Soy española, nacida en Córdoba  y por casualidades  de la vida, llevo  viviendo  en Mallorca  21 años, esto ya estaba diseñado, las generaciones actuales, lo digo por experiencia, han adoctrinados con historia.",0,0,0.0030579129233956337,0,0.09809819608926773,1,1,tie
Hotel El Cenajo en Moratalla (Murcia),0,0,0.2237209975719452,0,0.31865134835243225,1,1,tie
"Hay q declarar la llegada de MIGRANTES como ""SITUACION DE INTERÉS NACIONAL PARA LA SEGURIDAD DE ESPAÑA. Donde está un plan para combatir la oleada de invasores. La Estrategia de Seguridad Nacional actual contempla la inmigración irregular como una amenaza en páginas 46 y 68. RT URL",1,1,0.9991876482963562,1,0.911677360534668,1,1,tie
Los españoles tenemos a un gobierno en contra.,0,0,0.0005823366227559745,0,0.04172823205590248,1,1,tie
"Mocion de censura  con Calle, convoquen a todos los españoles.",0,0,0.006975184194743633,0,0.10766499489545822,1,1,tie
"Es el resultado de un atajo de inútiles votontos del tres al cuarto... se piensan que van a heredar el pastizar, como todos los cominstas de librillo quieren vivir de sudor ajeno así vamos. URL",0,0,0.0013624057173728943,0,0.11943627893924713,1,1,tie
Mientras miles de españoles durmiendo en la calle y otros muchos a punto porque les van a echar de sus viviendas,1,1,0.9933061003684998,1,0.7487885355949402,1,1,tie
INMIGRANTES coño. INMIGRANTES.,0,0,0.002162311691790819,0,0.09025842696428299,1,1,tie
"Estoy parado y este año me he quedado todo el verano en casa jodido sin vacaciones pero a los que nos invaden sin papeles que no les falte de nada. No tienen vergüenza ninguna¿Cuanto cuesta cada uno de esos ilegales....? A mi que no robo, ni asalto viviendas que me jodan...",1,1,0.9996860027313232,1,0.9814524054527283,1,1,tie
"Una pregunta, por qué hay que alojarlos en sitios así y en cambio España está llena de indigentes que no se les da ayuda ningúna???
Si eres español puedes dormir en la acera pero si vienes de Marruecos te ponemos un hotel??",1,1,0.9976329803466797,1,0.790285050868988,1,1,tie
Bueno !! Tiene su lugar viva basada en los principios básicos de la siniestra !!no valen más que para hacer  siniestros pero de los de hundir definitivamente!!!,0,0,0.001554691232740879,0,0.2838858664035797,1,1,tie
"Hay más que motivos.
 Adelante!!",0,0,0.001996015664190054,0,0.13218989968299866,1,1,tie
Los mismos zapatos y algunos con la misma camisa???? Se los llevaron también de compras??? Quién lo pagó????? 🤔🧐,0,0,0.007368873339146376,0,0.15460319817066193,1,1,tie
"Único país mundo #España permite invasores africanos acoge paga manutención estancia viaje fin curso, paga, ayudas, control PCR, falta pensiones vitalicias acosta españoles nos impongan religión musulmana sus normas costumbres consentimiento gobierno anarquista @user",1,1,0.999531626701355,1,0.962455689907074,1,1,tie
"Y el que le ha quemado la cara a un menor de 17 años...
Es que están saliendo unos casos que son terribles...
Que asco...",0,0,0.013214276172220707,0,0.479798287153244,1,1,tie
"URL

La gente está fatal...",0,0,0.0015010922215878963,0,0.056793130934238434,1,1,tie
"Detenido en noviembre, investigado por abuso sexual y explotación de menores con fines sexuales; en febrero está en la calle matando a otro. Independientemente del origen, en lo que no entro, es muy barato cometer delitos muy graves en España. URL",0,1,0.9353718161582947,1,0.7544678449630737,0,0,tie
"Pero a ver. ¿Es el mismo? Y que sí, que hay inmigrantes muy malos pero que españoles tb. Poner la etnia por delante de la persona es tener la mirada muy corta y muy sucia.",0,0,0.2610762417316437,0,0.09737686812877655,1,1,tie
"Es el mismo de noviembre el que ha matado a uno en noviembre, en qué he mentido? Y no he dicho nada del origen, que me da igual. Tengo dos hijas, ninguna de mi “etnia”. Odio el término. Se me puede acusar de muchas cosas, de xenofobia te aseguro que no.",0,0,0.0252163577824831,0,0.08336618542671204,1,1,tie
"Dependiendo de su origen, al país más próximo y con mayor posibilidad de asimilación. No queremos más MENAs, gracias.",1,1,0.9970477223396301,1,0.7843047380447388,1,1,tie
"si, los que vienen a pagar nuestras pensiones... Estamos arreglados. 😔",1,1,0.525307834148407,1,0.7058544158935547,1,1,tie
"Dirán que 7€ entre 3 son 2,3€ para cada extranjero, y 3 para el español... Que no nos quejemos... No sé cómo no estallamos",1,0,0.0030429186299443245,0,0.33908963203430176,0,0,tie
la misma mentira se repite en muchos países,0,0,0.007257238030433655,0,0.07166873663663864,1,1,tie
"El dato referido a extranjeros sin recursos es de 2010, hecho público en 2012, refritado por @user en 2014 y tuiteado en 2017. URL",0,0,0.020134229212999344,0,0.22030693292617798,1,1,tie
"Posverdad, desi9nformación, populismo y técnicas de dictaduras",0,0,0.0008800908690318465,0,0.053178396075963974,1,1,tie
"Joder, es que lo de @user ya es de traca. No es sancionable el difundir mentiras a sabiendas?",0,0,0.0008140734280459583,0,0.01823960244655609,1,1,tie
ya quisiera el gobierno de España que el gasto en sanidad fuera de 300 millones y no de 60.000,0,0,0.0009359652758575976,0,0.10628211498260498,1,1,tie
¿Eso es falso? URL,0,0,0.0013301946455612779,0,0.04141092672944069,1,1,tie
lo habéis justificado y contrastado genial!Ahora por qué no poneis datos oficiales d ayudas no contributivas? Para contrastar..,0,0,0.002830150770023465,0,0.1514194756746292,1,1,tie
Seguramente lo sea pero ¿Como lo demuestras o lo desmontas?,0,0,0.0010649870382621884,0,0.030161049216985703,1,1,tie
es un argumento de racistas,0,0,0.0024114903062582016,0,0.04765878990292549,1,1,tie
Por que no lo celebrais con los miles de inmigrantes que hay en Andalucía.  Quizás queréis que vengan más...habra menos oportunidades para los Andaluces que están fuera ..... URL,1,1,0.9961393475532532,1,0.8242852687835693,1,1,tie
"Fórmulas para arreglar el sistema de pensiones:
5) Eliminar las pensiones no contributivas a inmigrantes que no han aportado nada y que se pagan a costa de quitárselas a nuestros padres.
#PensionesDignas
URL",1,1,0.996950089931488,1,0.9426612854003906,1,1,tie
"6) Quitar subvenciones a inmigrantes. Nuestros padres han pagado impuestos toda su vida, antes de q ellos se queden sin pensión que los inmigrantes no tengan subvención. Ayuda al de fuera cuando sobre para los de dentro. No queremos a nuestros padres mendigando
#PensionesDignas URL",1,1,0.998725950717926,1,0.969070315361023,1,1,tie
Asi no es de extrañar que la ley de dependencia no llegua a casi nadie....,0,0,0.0007966920966282487,0,0.10533281415700912,1,1,tie
"En vez de integrarlas y liberarlas de sus cadenas, prefieren crear espacios donde sus maridos puedan seguir oprimiendolas",1,1,0.9956212639808655,1,0.9215952754020691,1,1,tie
Las pagarán ellos???,0,0,0.03865128383040428,0,0.31811589002609253,1,1,tie
"Pero las feminazis no dirán nada, mirarán para otro lado como siempre.",0,0,0.0019883213099092245,0,0.12851563096046448,1,1,tie
Hay una prenda de baño k se llama burkini (parece coña pero existe)con las k se les está permitido bañar según su religión.. así k se dejen de películas y de crear playas para nadie k ellas si pueden bañarse con eso sin quedar mal con su religión,0,1,0.9962863922119141,1,0.8562127947807312,0,0,tie
No habrá nadie tan necio para creer esto,0,0,0.0024911833461374044,0,0.02992951311171055,1,1,tie
"Propongo como ""piso piloto"" el chalet de Pablo Iglesias dado que tiene una enorme piscina.",0,0,0.0007376201101578772,0,0.18554599583148956,1,1,tie
Madre Mía la voz de su amo,0,0,0.05137970298528671,0,0.3266197443008423,1,1,tie
"También hay playas para los perritos.¡Buf que asquito,!Vendrán ya duchadas de casa,o se lavarán en la playa estas mujeres..",1,1,0.9968279004096985,1,0.8685948252677917,1,1,tie
"Solo podía ser cosa de Podemos,que se las lleven ellos a sus piscinas privadas,o playas cercanas,o se adaptan a lo que ofrece España,primero higiene y después como todo el mundo.",1,1,0.9904868006706238,1,0.5388645529747009,1,1,tie
si eso es cierto creo que Mafalda tiene razon como siempre ¿no? URL,0,0,0.0013246028684079647,0,0.030382269993424416,1,1,tie
Las de los perros no les valen?,1,0,0.2727201282978058,0,0.47686219215393066,0,0,tie
Y podremos los NO musulmanes compartir las mismas playas? O serán exclusivamente para ellos?,0,1,0.9909261465072632,1,0.9684221148490906,0,0,tie
De fuera vendrá quien de casa nos echará...,1,1,0.9991517066955566,1,0.9644043445587158,1,1,tie
"Que bien, yo quiero una playa solo para mi pero me cuesta encontrar una calita libre en este tiempo 😁🤣🤣",0,1,0.9675672650337219,1,0.7812913656234741,0,0,tie
Cuando la gente se de cuenta que es fake. ¿Borrarán los comentarios racistas? 😂😂,0,0,0.002274066209793091,0,0.03390359878540039,1,1,tie
"Jajajjaja jajajajajajaja que bueno tío, imagínate, como sabras si se está ahogando??? Si solo le ves los ojos?",0,0,0.12385570257902145,1,0.552534282207489,1,0,baseline_wins
"quien pueda, que frene a estos gilipollas",0,1,0.9944491386413574,1,0.8938499093055725,0,0,tie
Que se lleve a bañar a las musulmanas a su chalet de Galapagar,0,1,0.9993199110031128,1,0.9684462547302246,0,0,tie
"Como esto siga así, en poco años estamos invocando a Don Pelayo.",0,0,0.0028031310066580772,0,0.06919368356466293,1,1,tie
"Dios!.Otra imbecilidad,como puede esta gente superarse día tras día.
Vaya y la comparación son las playas nudistas o playas de gays.Pero merluzos,esos espacios públicos,como todos, no prohíben el acceso a nadie,mientras que lo propuestos sí.Lo q les gusta controlar las libertades",0,1,0.994247317314148,1,0.8139514327049255,0,0,tie
"Será cuando gobiernen en España no? Pero esos desgraciados, miserable, malnacido, van a gobernar alguna vez este país?",0,0,0.04031502082943916,0,0.11022529751062393,1,1,tie
Jope ¡¡ que nivelazo¡¡,0,0,0.002441994845867157,0,0.21711181104183197,1,1,tie
Quieren quitarnos nuestras playas para dárselas a las extranjeras,1,1,0.9993423819541931,1,0.9669005870819092,1,1,tie
"Las mujeres musulmanas deben ir a la playa en el mismo plan que las ""cristianas"". Dicho en serio,deben incorporarse a la Ilustración, a la Democracia y la República.",1,0,0.36551788449287415,1,0.540651261806488,0,1,context_wins
"hay sitio elegido ya?,o tienen que preguntarles donde quieren que las pongan la playa?.",0,1,0.9245947599411011,0,0.4638988971710205,0,1,context_wins
Podezuela URL,0,0,0.030944015830755234,0,0.17073914408683777,1,1,tie
Podemos me va a tocar los huevos!!,0,0,0.009764067828655243,0,0.39041855931282043,1,1,tie
"Seguís inventando noticias, miente que algo queda",0,0,0.0007410244434140623,0,0.024762164801359177,1,1,tie
Es dominio público hidráulico.  No te pueden impedir el acceso.,0,0,0.03460847586393356,0,0.152670219540596,1,1,tie
jajaja xs5r7,0,0,0.007772802375257015,0,0.08726705610752106,1,1,tie
Seré breve : Y  UNA MI3RDA PARA PODEMOS Y OTRA PARA LAS MUJERES MUSULMANAS .,0,0,0.009172044694423676,0,0.11691802740097046,1,1,tie
Ni hablar. Ademas hay que prohibir llevar el velo.,0,0,0.25563549995422363,1,0.5882210731506348,1,0,baseline_wins
"Sólo faltaría ya que promoviéramos una religión que esclaviza los maujeres. O se integran o que se vayan de una pxta vez.
¡¡ Fuera musulmanes !!",1,1,0.9955713152885437,1,0.5647487044334412,1,1,tie
Sólo faltaría ya que promoviéramos una religión que esclaviza a las mujeres. ¡¡ O se integran o que se vayan de una pxta vez. ¡¡ Fuera musulmanes !!,1,1,0.9915801286697388,1,0.5172647833824158,1,1,tie
Los de @user son la mayor MUGRE y BAZOFIA que pulula por los estercoleros de toda España. Sin mayores comentarios...¡Por cierto...ahora que se van los venezolanos a otros países por culpa del Gorila @user...¿no dice nada el Coletas? ¿Sigue apoyando al Gorila?!,0,0,0.0023037150967866182,0,0.10098112374544144,1,1,tie
Pero que cojones! Que se vayan a la morería.,0,0,0.0008485387079417706,0,0.4690123498439789,1,1,tie
"O sea, lo podemitas me excluyen por ser hombre y cristiano. En mi país. HDLGP",1,0,0.40934431552886963,1,0.9479634165763855,0,1,context_wins
