comment_id,backtranslated_text
s_34,"Cuando no invertiste en I+D y todos nuestros científicos tuvieron que hacerse grandes con otros países, te mantuviste callado como si..."
s_35,Son recolectores de salvados y esparcidores de trigo.
s_36,"Ven a gastar caballeros @user entonces en deudas y aumentar los impuestos para poder pagar todo, entonces nos quejamos de pp para aumentar los impuestos no es de extrañar si viene y gastar y dejar todo a 0 no presentable presidente @user elecciones ya"
s_37,¿Y alguien echa de menos todo eso y lo que está por venir? Volverán a arruinar España como ya se ha hecho contraparte socialista
s_38,Madre Mia... lo mal que se ve esto... nos parecemos a los tontos de Europa...
s_39,Pedrito a menudo arruina lo que estás haciendo Tolai
s_40,"Sr. Sánchez, incluso los inmigrantes legales, q pagar sus impuestos, están de acuerdo en: Quien no tiene obligaciones, no puede tener derechos, nos llevará de vuelta a la ruina que he contribuido 37 años, es mi obligación, no voy a renunciar a mi paga de jubilación, es mi derecho"
s_41,"Incluyendo los 1000 que, ayer mismo, llegaron a las costas andaluzas, y a ese ritmo TODOS los que vienen, pero no hay dinero para pagar las pensiones que nos iban a pagar estas."
s_42,"Vete a la mierda de aquí, porque perteneces al ejército, tienes el ISFAS, si piensas en aparecer para la seguridad social, primero para la visita te envían una factura que se asusta y luego te amenazan en caso de que no te paguen, pero si vienes de fuera no hay problema"
s_43,Nos hará eternos hasta que lleguen las próximas elecciones.
s_44,Creo que es perfecto.
s_45,Usted ya está trabajando para pagar a la Iglesia por las carreteras rescatadas para pagar los bancos al castor de Florentino......
s_46,"No estoy de acuerdo con esta medida populista, pero es lo que está sucediendo en Europa con la inmigración. Aquí en España, tanto la derecha como la izquierda en este tema han seguido las directrices de Bruselas para la inmigración incontrolada."
s_47,"No veo mucha charla que a partir de ahora, todos los españoles van a pagar por la salud de los inmigrantes ilegales. Salud pública universal para todos, fuera de las concertinas de la valla de Ceuta y Melilla (que Zapatero puso) y ayudas y dinero para todos."
s_48,"El gobierno dará atención médica gratuita a todos los inmigrantes ilegales, “gracias a nuestros impuestos”. Mientras tanto, para pagar el bono de julio a nuestros pensionistas, ha pedido un préstamo al Tesoro. #FronterasSafe #VOXAlcongreso URL vía @user"
s_49,gastos y más gastos y más impuestos
s_50,¡Son irresponsables! #EleccionesYA #SánchezNoMerepresenta #SánchezPresidenteNoElecto #EspañaLaPrimera
s_51,"Oscuridad para tu casa y luz para los de afuera, socialismo populismo y chavismo, la misma mierda."
s_52,"Ya hemos tenido suficiente de esta historia, y la izquierda comunista siempre viene y regala nuestro dinero."
s_53,"RECIBIR PARA XENOFOBIC COCTEL - Tome una medida de ""Un ilegal tiene los mismos derechos que usted, pero sin pagar impuestos"". - Añadir una medida de ""Dejar que todos entren"" - Agitar bien, y usted ya tiene un partido anti-inmigración al europeo - Servir URL caliente"
s_54,"Y, los españoles pagan sus impuestos toda su vida y seguimos pagando el copago. URL"
s_55,"Sr. Sánchez, la seguridad social está en bancarrota.¿Qué medidas va a tomar? -Dar a todos gratis - Brillante!!"
s_56,Ven y vamos a todos con flores a los bonitos Con flores a los bonitos Que nuestro padre es
s_57,"Ahora trato de hacer el cóctel de ""no hay pensiones; salud pública para tutti il mondo"" y no un pensionista en la calle."
s_58,Es el único que llama a las cosas por su nombre.
s_59,Resumiendo: definición del efecto #call.
s_60,"No se trata sólo de una irresponsabilidad política, sino de los señores a quienes se ha confiado gobernar y administrar el dinero de los ciudadanos, que ahora traicionan y desprecian los derechos de quienes los han puesto allí."
s_61,"Venimos sufriendo en consultas, emergencias y hospitales públicos por toda España, falta de médicos, enfermeras, ambulancias, quirófano, camas, así como meses de espera para pruebas médicas, operaciones y rehabilitación. Ahora la salud pública que tendremos será el tercer mundo."
s_62,"Todos estos pejopogres tienen atención privada de salud y mientras están en el cargo no hacen listas de espera, todos por la cara, y los españoles nos han roto a impuestos, pensiones para joder"
s_63,"¿Qué tan bueno es Pedro y sus ministros, Seguridad Social 76 mil millones de euros en números rojos, un año para operar en trauma. Pensiones 10 mil millones de euros préstamo para pagar más julio. Pero nada todo gratis que paga España, y si no tenemos, pedir."
s_64,"Fuera de las concertinas fuera de las fronteras, tienes que ser humanitario, todo el mundo viene que para eso somos un país rico y lo que queda es dinero, especialmente cuando no es de uno."
s_65,Qué tela... ¿adónde vamos?
s_66,Y tuve un ataque al corazón y un tallo buscando mi vida.
s_67,"Si en España queremos tener la esperanza de no sucumbir a la invasión, necesitamos VOX en el Congreso."
s_68,Me pregunto ¿por qué el objetivo principal de este gobierno es arruinar España y fomentar la inmigración ilegal hasta que consigamos nuestra colonización? ¿A quién nos ha vendido?
s_69,"1 No es racismo ni xenofobia, es sentido común y no debes ser tomado por tonto. Si pago por un servicio quiero que ese servicio me sea proporcionado. No me importa si después de cuidar de mí atienden a alguien que no lo ha pagado pero que cuidará de mí."
s_70,"Para que los españoles trabajen y nos descuentan por la salud; migrantes con todos sus derechos; ayuda familiar; hogar, etc. lo que el ciudadano español no tiene; mal pagado y no tenemos derecho a la vivienda; tenemos q para emigrar y tendremos más derechos q para ser españoles"
s_71,Y luego en Europa se preguntan por qué proliferan los partidos antiinmigrantes y de extrema derecha.
s_72,"Mejor garantizar la asistencia a los españoles, Aquí en Cataluña, LLoret de Mar no se preocupan en casa por los enfermos cuando sufren un problema, dicen que tenemos que ir al lugar donde están. incluso si se trata de un ataque, o un grave aumento de la tensión."
s_73,"¿Cuánto le costará a los ciudadanos la ""decencia política"" de Psoe... cuánto más subirán los impuestos?"
s_74,"Don Luis, en contra de todo lo que no es xenófobo, hay muchos partidos en Europa que se llaman xenófobos, pero en realidad están en contra, no por qué odian esta o aquella raza."
s_75,"Con listas de espera sanitarias para desbordarse, en lugar de poner los medios para examinarlos y reducirlos a la expresión mínima, ahora van a aumentar a infinito con los recién llegados. Descuida de la salud para todos, el nuevo mantra socialista"
s_76,"Si no tuviéramos que pagar por los españoles, viendo cómo arruinaron el dinero ayudando a los amigos pagándoles los edificios en , alquiler, en lugar de directamente , tendríamos mejor atención médica."
s_77,Entonces va a estallar.
s_78,"Nadie va a hablar de números????, tanto como sea posible, el techo, la capacidad máxima de recibir, el costo actual, los costos futuros, la vivienda necesaria, la capacidad de cobrar, los impuestos necesarios, el costo por persona y mes, el costo total????"
s_79,"Que he contribuido toda una vida a la seguridad social miles y miles de pesetas y euros y que ahora cualquier ilegal tiene la misma atención médica que tengo sin haber contribuido un centavo a la S Social, me repite. Esto sólo sucede con el gobierno fraudulento de @user"
s_80,"No creo que esté mal que quieran proteger los intereses de los ciudadanos, ni que sea xenófobo."
s_81,ZPEDRO Sánchez nos llevará al rescate de Europa
s_82,"Lo que es realmente xenófobo, es que siendo un inmigrante legal, la izquierda me llama nazi sólo porque es ucraniano. Es diferente de entrar ilegalmente y por encima de dar ventajas por encima de los ciudadanos. Es muy clara la diferencia."
s_83,"Un grupo de personas que están en el día a día. Pagan sus impuestos y son relegados a escuelas, hospitales, ayudas, etc..."
s_84,Estos personajes son los que nos están haciendo xenófobos. A ellos con su hipocresía debemos agradecerles.
s_85,Me encantaría que todos los votantes del Psoe pagaran la atención médica universal... veríamos cuánto dura.
s_86,"Dicen ""alguna""q este gobierno ha llegado a ""durar"".... Esperemos que no, que la sabiduría triunfos y elecciones se llaman, pq al paso que nos arruinarán!! ""en dos días"", como Zapatero hizo ... ¿Qué peligro tiene la izquierda!!!!"
s_87,Y porque el portavoz da la conferencia de prensa que parece estar corrigiéndonos a todos por haber sido malos? Es ese tono de voz insufrible.
s_88,Crecimiento exponencial si también se agregan aumentos de impuestos para el café para todos
s_89,Esto es justo lo que estas URL pijiprogres traen.
s_90,"Bueno, gracias a Dios que nunca estás en una posición ilegal..."
s_91,Un partido antiinmigración plenamente justificado
s_92,"El dinero público no es de nadie, dijo Calvo."
s_93,"Siempre lo digo, un trabajo que no haga que la socialdemocracia sea suave y con tacto, pero hacerlo hará que sea la extrema derecha para los valientes y para el pueblo ya cabreado al máximo."
s_94,"No lo veo bien, van a cobrar la seguridad social entonces. Ya por si acaso, hay un gran agujero que cuesta cada vez más, al final no queda nada."
s_95,Y pensar que algo tan obvio no está al alcance de todos... Estoy a favor de la inmigración libre (sin control) pero no que un asturiano o murciano financie mi vida o la de otro. Defender ambos al mismo tiempo demuestra una profunda estupidez
s_96,"Los servicios que cuestan dinero no pueden ser llamados ""universales"", porque los pagamos quienes se desmoronan todos los días, reciben a los inmigrantes que vienen a trabajar, integran y respetan nuestra sociedad feminista, libre, respetuosa y diversa."
s_97,"Tienes que ser muy mala gente para dar tal orden, mientras que nos amenazan con copago, hacer que los jubilados paguen por sus medicamentos y recomendarnos que contratemos un seguro privado,"
s_98,Mientras los impuestos suban a los españoles para pagar la salud a todos los parásitos universales
s_99,¿Y los recortes que los sufrieron? Aquellos que hemos pagado impuestos toda nuestra vida.
s_100,"Hola, aquí la verdadera izquierda, lamento su experiencia con la falsa izquierda. Discriminar por nacionalidad no es izquierdista. Pero: - Los inmigrantes no tienen más derechos que los españoles - Eso es desinformación xenófoba - Tal vez te llamaron nazi por decir cosas así?"
s_101,"Es para muchas cosas, pero entre otras, por un problema de ""salud pública""."
s_102,En Francia fue Hollande quien logró actualizar a FN casi a la presidencia (que tomó un Macron)... ¡para ver quién pone a D.@user en la solfa!
s_103,Y estoy pagando la seguridad social por más de 38 años.
s_104,Lo siento pero ese partido en España lleva varios años en España y no ha sido fundado ahora por las políticas de la Psoe. Se llama VOX.
s_105,- Cambiar la ley electoral para que puedan votar para que la izquierda se perpetúe en el poder.
s_106,"El tema de los refugiados es un verdadero drama, al igual que los españoles que viven en la pobreza o son expulsados de sus hogares por no poder pagar."
s_107,¿Dónde dice que no querer la inmigración ilegal es xenofobia?
s_108,"Nuestro llamado estado de bienestar, es así porque el dinero se proporciona de ""todos"" para ser mantenido y ninguno se mantiene porque gastamos más de lo que contribuimos = deuda pública. No hay problema, 500 euros más por año cada ciudadano por cada inmigrante, y resuelto."
s_109,"Están haciendo la campaña libre a @user . España NO es xenófoba, pero tampoco lo son los imbéciles españoles y nos obligarán a defender lo que los trabajadores-pensionistas han ganado pagando tantos años con nuestros impuestos HUMANIDAD: TODOS CONTROL : TAMBIÉN"
s_110,La locura en el poder fue establecida una vez más...
s_111,Tienes que joder... con estos tontos.
s_112,¡Usted no es presentable.!!!
s_113,"¿Se paga con los impuestos de todos los españoles? Parece, por la información que usted da que Sánchez paga. Será que pagamos con los impuestos"
s_114,"Sí, pero la policía no los ve en el centro de salud, para ellos la salud privada, la salud pública para el plebe con todos los emigrantes."
s_115,¿Será la presidencia de Sanchez una oportunidad para recuperar a los votantes perdidos o el último consejo a su partido? Creo que las dudas están siendo aclaradas.
s_116,"Bueno, eso es lo que pasa, ¿no?"
s_117,"Algunos de nosotros pagamos y algunos de nosotros los políticos somos los buenos, con el sudor de otros."
s_118,"Si no hay dinero para las pensiones para la investigación de la salud... etc de donde lo conseguirán para dar todo a los ilegales y aquellos que vienen con este efecto llamado felices Mafias, África sin materias primas y sin la juventud, ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡!¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡"
s_119,¡Pagaré por ello!
s_120,Tanto que parece ser a propósito.
s_121,Me parece que la inmigración ilegal es un problema grave y lo que va a aumentar la xenofobia va a ser no querer asumir que no se puede dar la bienvenida a todos los que se lanzan al Mediterráneo en un barco patrocinado por mafias.
s_122,No ha especificado todos esos derechos. Para cada derecho: 100.000 votos. c.c. @user @user
s_123,"Esta medida no mejora nuestro sistema de seguridad social, que por desgracia nos hemos derrumbado con la lista de espera para operaciones, emergencias, etc. y lo pagamos, pero lo peor es que si viene más gente y no mejora lo mismo todos vamos a salir lastimados, vergüenza"
s_124,"ZPedro INVITA En la misma semana que pide el DINERO PRESUPUESTADO A LOS MERCADOS. Somos GENEROSAMENTE ILUUSOS E IDIOTAS si pensamos que España, sola, tiene dinero para solucionar los problemas de África."
s_125,"Bueno, la gente aplaude con sus oídos, tanta tecnología, y nos gusta cada vez más el pliegue..."
s_126,Estoy de acuerdo con la asistencia sanitaria universal y la inmigración gratuita entre zonas socioeconómicas similares (UE).
s_127,"Si paga de su bolsillo, otro gallo cantaría."
s_128,"Como llevar un país en meses. Pedro Sánchez va a hacer bien a Zapatero hasta tal punto que si está más de un año en el poder, no veremos la continuidad de España como nación."
s_129,"Con qué presupuesto, con el que Rajoy se fue o con el del año siguiente, que nos expliquen cuánto aumentará nuestro déficit."
s_130,Y así es como la extrema derecha entrará en el congreso de diputados como el resto de Europa. La cuestión es si es lo que realmente está buscando el PSOE.
s_131,"No sabía que un “ilegal” (que quería decir, para aquellos que no saben, un “sin papeles”) no tenía los mismos derechos que cualquier ser humano. Afortunadamente estamos en el siglo XXI, pero ......"
s_132,"Esto significa: A los que te fríen a impuestos, ahora aparte de mantener la mitad de España vas a pagar atención médica a los inmigrantes ilegales, que ciertamente no trabajarán y vivirán de ayudas, que también les pagarán y te cogerán y si te quejas eres repugnante fachas Besis URL"
s_133,"Para este tipo de personas es una cuestión de muchas cosas muy agradables, y parece que no es una cuestión económica o una cuestión de servicios equilibrados: profesionales, hospitales, habitaciones, máquinas de diagnóstico médico de alto nivel, etc. Me parece que no va a terminar bien"
s_134,El gobierno pide un préstamo de 7.500 millones para pagar las pensiones mientras aprueba la salud pública universal que los españoles mantienen para cubrir a los inmigrantes ilegales.
s_135,"Además de ser insostenible, es injusto para los españoles que contribuyen a pagar por el sistema que pasa a tener los mismos derechos que los ilegales y un sistema de salud pública más saturado."
s_136,El gobierno anuncia que restaurará la atención médica universal y devolverá la tarjeta de salud a los inmigrantes ilegales. URL
s_137,Perico de los palotes llama a elecciones e ir
s_138,"Ya saben, chicos, las listas de espera se extenderán."
s_139,"El programa político que este gobierno de CORRUPTO nos impone, nadie ha votado a favor. De hecho, nadie lo sabe. Eso es una usurpación de la soberanía de los ciudadanos. ¡¡Elecciones ahora!!"
s_140,Ya era hora.
s_141,"Lo que tienes que devolver es soberanía al pueblo español y votar en elecciones que quieren ser gobernadas, Elecciones ahora."
s_142,Papá es Rico.. al grifo abierto..
s_143,"mensaje claro, tan pronto como entres a España (se está haciendo más fácil) tendrás todos los derechos y ayudas, y los españoles para pagarlos, así que ... todo para España"
s_144,Pido a todos que dejemos de pagar a las SS y tengamos los mismos derechos que los inmigrantes ilegales.
s_145,"Curioso y más justo y aplicable: el pájaro habla de decencia política, la decencia tiene más de un significado que declina en dignidad. Y esto a su vez -dignidad- en prebenda que es empleo político, presidencia o ministerio lucrativo y poco trabajo."
s_146,"Mientras tanto, los préstamos (7 200 millones de euros) para pagar el mes de julio a los pensionistas"
s_147,PSOE: Gobierno para extranjeros sin papeles desde 2004.
s_148,"Vota PSOE, para bajar la calidad de la escuela pública llenándola de inmigrantes por debajo del nivel académico de tu hijo, para que con tu dinero les den a casa mientras tú, oveja, pagas la hipoteca y así te fríen a los impuestos que pagan su salud... ¡eh! Y sin referéndum..."
s_149,"Será si la comunidad autónoma de turno quiere, que para eso se transfiere, y si no hay lereles para cada dios porque no hay , que las comunidades que tienen más inmigración no son responsables de la existencia de estas luces."
s_150,"Vergonzoso y sin dinero para las pensiones, para el ajuste de GC y CNP, para reducir la lista de espera, mejorar la salud, etc."
s_151,Y quien pague por ello... los trabajos de los españoles... que dejarán de ser tan davidiosos... para postularse en otro lugar.
s_152,"Usted debe saber que la seguridad social no paga por la salud, pero se paga con la iva, primer documento y recuerde que la iva paga a todos,"
s_153,Hay muchos ciudadanos españoles que quieren votar en las urnas.
s_154,"Esa cosa de precariedad que decían, ¿se referían a españoles o extranjeros? Aún no han dicho una palabra para ayudar a los nacionales... y salen tontos aplaudiendo las medidas... No lo entiendo."
s_155,"La salud universal siempre lo ha tenido. A nadie se le niega el cuidado en urgencias de ningún hospital. La tarjeta sanitaria, veremos lo que dice Europa. Darla en España, o en Italia o Portugal, tiene implicaciones para el resto de los Estados miembros. Caos y demagogia."
s_156,No haría eso si lo pagara de su bolsillo.
s_157,"¿Qué pasa si son ilegales cómo les va a dar algo legal? En lugar de la tarjeta, les doy las instrucciones para entrar legalmente con un plan de los cruces fronterizos, porque es una locura que hay rutas legales, hacer que salten vallas o jugar en el mar"
s_158,¿Puedo darte también la de El Corte Inglés?
s_159,Y lo pagará todo con nuestro bolsillo.
s_160,Hemos pasado de no poder pagar pensiones a dar atención médica universal a 800.000 inmigrantes ilegales... ¿quién va a pagar por el progreso del partido? #Aquarius
s_161,Uno de dos: tan malo que Rajoy no lo hizo que dejó dinero para esto o son muy irresponsables y van a estar basados en la deuda.
s_162,"Todo el que tiene una nómina, esto es insostenible y en 3 meses estaremos abrumados."
s_163,El nuevo instructor ordena en siete días lo que el juez Núñez no hizo en año y medio URL a través de @user
s_164,"No disimule, usted sabe perfectamente bien."
s_165,"La izquierda necesita nuevos pobres para votar por ellos y la mano de obra barata de derecha, pero no cuentan con muchos de ellos para ir a trabajar, no hablemos más de comercio."
s_166,"Porque como siempre le corresponde a la clase media pagar. Si estos gastos tuvieran que ser pagados por todos los políticos en su bolsillo, les aseguro que habrá menos progreso del partido!!"
s_167,"Claro, pero esas noticias no venden sinvergüenzas de pandillas."
s_168,Siempre pagamos lo mismo.
s_169,No con mi dinero... para robar de hacienda.
s_170,"En dos años, cuando perdieron las elecciones, se justificaban dando por sentado que las arcas estaban vacías debido al gobierno legítimo que existía antes."
s_171,Pensionistas seguros
s_172,¡Algo no cuadra!
s_173,"Y si al final esto es... ""contraproducente"""
s_174,"Luz y taquígrafos, como decía la Coleta Bolivariana hasta que se hicieron ricos y con propiedades... con los votos de los que no tienen nada y sufren URL"
s_175,Lxs d siempre
s_176,"Sin robar, hay mucho."
s_177,Tú y yo y los otros contribuyentes y rezamos para que no termine como el Sr. Rodríguez Zapatero.
s_178,"Y los pensionistas, no protestan??Con cómo eran los guerrilleros con Rajoy..."
s_179,"Gilipollas de nómina, como siempre."
s_180,"Lo mismo de siempre, el mismo idiota de siempre, quiero decir."
s_181,"Soros donará una pequeña cantidad de dinero, y lo está tirando por lo que queda de él en el convento."
s_182,"He estado pagando por la fiesta asquerosa como tú durante muchos años... y mira, sigo aguantando."
s_183,"Deben tener un plan, que estos políticos están más cerca de la gente y también ven la televisión, seguro que piden crédito y todas las URLs resueltas."
s_184,"Tendremos que vender las propiedades de los izquierdistas y vaciar sus cuentas bancarias. Solidaridad con lo mismo, no con los demás."
s_185,¿Ciudadanos a impuestos?
s_186,Todos los españoles
s_187,"Es que ahora Pedro Sánchez, traerá empresas y multinacionales para dar trabajo a estos inmigrantes más todos los que están entrando (a miles, por el efecto llamado) por Cádiz. Y con 4 millones de desempleados todavía."
s_188,"Bueno, tú y yo."
s_189,Acuario llega cada semana a España. No sé por qué tanto bombo. Es lo que hay. El efecto llamado ya está hecho hace años. Buscamos trabajo para pagar las casas ropa de comida y todo lo demás que estas personas ya se dan de por vida.
s_190,"Tal vez con los millones de euros para el mantenimiento del Valle de los Caídos, impuestos impagados de la Iglesia y las grandes empresas, etc. dio para hacer algo..."
s_191,Prefiero pagar por acciones humanitarias como esta que pagar por los caprichos de los ricos de muchos políticos corruptos o de la familia real.
s_192,"En poco tiempo votan y devuelven los favores, hacen todo lo posible para obtener el poder."
s_193,"Bueno, la derecha productiva, como siempre, para que los hijos de papá puedan hacer sus políticas."
s_194,"Crítica de que hay una salud pública y necesaria para evitar posibles epidemias, pero no crítica de que el #PartidoParobar te ha dejado sin una Salud de calidad. También debes preocuparte más por lo que tu gobierno te quite de lo que damos a los demás."
s_195,"Harán lo que hizo ZP, se irán y nos quedaremos... pagando y sufriendo las consecuencias."
s_196,Sólo recuperar lo que algunos políticos y amigos nos han robado durante una larga temporada para ayudar a aquellos que lo necesitan.
s_197,"Tal vez los Bancos, exigiéndolo."
s_198,"Es la historia de siempre, PSOE arruina el país con sus residuos, entra en el PP nos aprieta, recupera el país, y cuando la cosa es + o - bueno, los impresentables aprovechan todas las medidas que las pp hacen para sacarnos de la quema, para ganar las elecciones, y repetir la historia"
s_199,"Como siempre, nosotros, los socios como siempre disparando con King Plumer."
s_200,"Si este desperdicio continúa, los contribuyentes deben organizar una planta y dejar de pagar impuestos en bloque. #ContributorPlant"
s_201,Creo que les quitarán sus salarios y beneficios políticos para pagar por ello.
s_202,Hemos gastado miles de millones dEuros distraídos con gracia xlos carrñer@s gürtelaZistas con alevosia+noctunidad+
s_203,"P Casualidad nadie quiere recordar las leyes peperas dExtranjería c/o Aznar: ""¿Son estos estigmas cancerosos en España????"
s_204,¿Y todavía te estás preguntando? Obtendrás la parte de la factura.
s_205,¿Así que no pagamos carreteras que no se usan y rescatamos el banco y el dinero que han robado y el banco de pensiones que lo derritió?
s_206,"Bueno, el mismo tipo que pagó por la fiesta de corrupción en el pp, supongo, cada vez que una fiesta..."
s_207,"Creo que los inmigrantes no son el problema. Es todo lo que han sido robados de pleno derecho para aquellos que tenían que cuidar el bien común. Rescates bancarios, ejército y iglesia y monarquía son los gastos más altos de nuestro estado. Sólo aquellos que deben ser cortados no deben invertir"
s_208,Esto es como cuando dicen... que volvemos tras la publicidad.
s_209,"Para los planes de estudio habituales vamos a aumentar los impuestos/por qué, como ya sabemos, la salud no es gratuita/los pagos no contributivos a los inmigrantes son cada vez más/redonar la deuda catalana/4 más ministerios/vamos a sacar nuestra sangre en chorros"
s_210,"Tú, y el resto de los españoles pagamos impuestos, entre los que me incluyo."
s_211,"¿Necesitan una respuesta? ¿Seguro que adivinamos... ciudadanos? No, si notan que tengo estudios..."
s_212,"Q miedo a la gente... en este tweet duele al alma con lo que lees x aquí... Me gustaría que hubiera otro mundo para darnos la verdad xq d, ni del vecino que se aman el uno al otro"
s_213,"Tú y vete a la mierda, maldito racista."
s_214,"Bueno, todos los que ven a esos ""ilegales"" como personas."
s_215,Por el momento sólo los comensales han aumentado xo no han presupuestado para más pollos. Simplemente aumentará las listas de espera.
s_216,"¡Espera a que un ratin empiece a subir impuestos a pie, que es donde siempre sacas dinero!"
s_217,"Tú, por la solaridad y la humanidad."
